# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	25487
#@/user_id	08739937-06a1-48ea-b483-a1d82a4c18b3
Epsilon 	Ε	c=1 d=1.21929e-09 t=25487
cai yong 	采用	c=1 d=3.58418e-18 t=25487
cai you 	才有	c=1 d=7.94778e-34 t=25487
can 	残	c=1 d=2.52402e-10 t=25487
can guan 	参观	c=1 d=2.37008e-05 t=25487
can jia 	参加	c=5 d=0.000129775 t=25487
can kan 	参看	c=3 d=1.0393e-34 t=25487
can kao 	参考	c=21 d=0.00096171 t=25487
can kao pin 	参考品	c=1 d=5.77343e-09 t=25487
can kao zi liao 	参考资料	c=1 d=7.38879e-29 t=25487
can ren 	残忍	c=1 d=1.12302e-12 t=25487
can shu 	参数	c=11 d=9.89966e-12 t=25487
can zhao xi 	参照系	c=1 d=4.83979e-22 t=25487
cang 	苍	c=1 d=1.13643e-34 t=25487
cang de 	藏的	c=1 d=1.53188e-47 t=25487
cao 	操	c=1 d=1.22707e-25 t=25487
cao 	艹	c=1 d=3.59335e-48 t=25487
cao chang 	操场	c=1 d=9.8898e-47 t=25487
cao he 	漕河	c=2 d=2.82085e-15 t=25487
cao zuo 	操作	c=14 d=0.000820554 t=25487
cao zuo xing 	操作性	c=1 d=1.54544e-33 t=25487
ce 	测	c=13 d=1.46097e-11 t=25487
ce bian 	侧边	c=1 d=1.20069e-34 t=25487
ce chu 	测出	c=2 d=6.46254e-12 t=25487
ce chu lai 	测出来	c=1 d=6.5602e-13 t=25487
ce dao 	测到	c=4 d=5.37345e-33 t=25487
ce le 	测了	c=1 d=6.5073e-05 t=25487
ce ping 	测评	c=1 d=1.71776e-12 t=25487
ce shi 	测试	c=2 d=2.11336e-19 t=25487
ce shi ka 	测试卡	c=1 d=1.09869e-19 t=25487
ce su 	测速	c=1 d=4.85233e-23 t=25487
ce suo 	厕所	c=1 d=1.66241e-09 t=25487
ce xu 	测序	c=70 d=0.018124 t=25487
ce yi xia 	测一下	c=1 d=1.718e-43 t=25487
ceng ceng 	蹭蹭	c=1 d=3.37258e-08 t=25487
ceng jing 	曾经	c=1 d=2.99071e-06 t=25487
ch r 	chr	c=1 d=2.54843e-35 t=25487
cha 	差	c=1 d=3.08064e-31 t=25487
cha 	查	c=1 d=1.43182e-17 t=25487
cha bie 	差别	c=2 d=3.12029e-05 t=25487
cha bu duo 	差不多	c=4 d=9.57779e-24 t=25487
cha dao 	查到	c=3 d=1.59477e-18 t=25487
cha dao le 	查到了	c=1 d=4.71468e-08 t=25487
cha dian 	差点	c=2 d=0.436049 t=25487
cha jian 	插件	c=15 d=0.810584 t=25487
cha ju 	差距	c=1 d=1.77369e-36 t=25487
cha kan 	查看	c=13 d=0.00100889 t=25487
cha le 	差了	c=1 d=2.5932e-34 t=25487
cha le 	查了	c=1 d=1.7743e-40 t=25487
cha le dian 	差了点	c=1 d=3.99687e-06 t=25487
cha ming 	查明	c=1 d=0.0495388 t=25487
cha ru 	插入	c=3 d=1.11257e-11 t=25487
cha sha 	查杀	c=1 d=1.83818e-15 t=25487
cha xun 	查询	c=2 d=2.88177e-35 t=25487
cha yi 	差异	c=18 d=1.72191e-11 t=25487
cha yi 	茶艺	c=1 d=0.00030659 t=25487
cha yi xia 	查一下	c=4 d=1.01806e-34 t=25487
cha zhao 	查找	c=1 d=2.79185e-21 t=25487
cha zhao dao 	查找到	c=1 d=2.80584e-20 t=25487
chai 	拆	c=1 d=2.36429e-35 t=25487
chan 	缠	c=2 d=0.00730414 t=25487
chan di 	产地	c=1 d=1.16061e-17 t=25487
chan le 	缠了	c=1 d=0.00423235 t=25487
chan mei 	谄媚	c=1 d=4.57441e-35 t=25487
chan wu 	产物	c=4 d=1.61098e-11 t=25487
chang 	厂	c=1 d=2.27708e-34 t=25487
chang 	唱	c=13 d=5.94181e-34 t=25487
chang 	场	c=1 d=3.52711e-35 t=25487
chang 	常	c=6 d=8.08465e-29 t=25487
chang 	长	c=3 d=5.95229e-16 t=25487
chang ce xu 	唱测序	c=1 d=1.67012e-34 t=25487
chang chong 	长虫	c=1 d=0.557105 t=25487
chang ci 	唱词	c=2 d=5.70026e-06 t=25487
chang dao 	唱到	c=2 d=8.05715e-35 t=25487
chang du 	长度	c=8 d=6.54699e-15 t=25487
chang duan 	唱段	c=2 d=4.17061e-36 t=25487
chang gei 	唱给	c=0 d=4.18069e-36 t=25487
chang gei ni 	唱给你	c=1 d=4.20166e-35 t=25487
chang guo 	尝过	c=1 d=0.357006 t=25487
chang jian 	常见	c=3 d=1.91848e-18 t=25487
chang jiu 	长久	c=1 d=7.17678e-10 t=25487
chang kai 	敞开	c=1 d=1.16021e-13 t=25487
chang le 	唱了	c=1 d=9.98913e-47 t=25487
chang nin 	唱您	c=1 d=5.11954e-36 t=25487
chang pian 	唱片	c=2 d=6.11357e-06 t=25487
chang shi 	尝试	c=2 d=1.71585e-28 t=25487
chang shou 	长寿	c=1 d=6.75884e-10 t=25487
chang wan 	唱完	c=2 d=3.66447e-34 t=25487
chang xi 	唱戏	c=3 d=4.47882e-06 t=25487
chang yin qi 	常引起	c=1 d=2.34276e-45 t=25487
chang yong 	常用	c=2 d=2.01856e-28 t=25487
chang yuan 	长远	c=1 d=0.000510561 t=25487
chang zi 	场子	c=2 d=1.71953e-35 t=25487
chao 	炒	c=1 d=3.68694e-27 t=25487
chao biao 	超标	c=1 d=0.00182714 t=25487
chao chao 	抄抄	c=1 d=8.08738e-33 t=25487
chao chu 	超出	c=1 d=2.29598e-43 t=25487
chao dao 	吵到	c=1 d=1.93072e-34 t=25487
chao guo 	超过	c=2 d=4.43242e-17 t=25487
chao ji 	超级	c=1 d=4.24388e-35 t=25487
chao lian jie 	超链接	c=2 d=9.18825e-05 t=25487
chao qi lai 	吵起来	c=1 d=3.95979e-14 t=25487
chao shi 	巢式	c=2 d=2.65388e-12 t=25487
che 	扯	c=2 d=0.054204 t=25487
che 	撤	c=1 d=0.110804 t=25487
che 	车	c=1 d=7.32426e-14 t=25487
che dao na 	扯到哪	c=1 d=7.56143e-36 t=25487
che di 	彻底	c=2 d=0.794533 t=25487
che piao 	车票	c=2 d=2.75979e-05 t=25487
che xi 	扯戏	c=1 d=7.83077e-36 t=25487
chen 	陈	c=2 d=9.812e-13 t=25487
chen chun 	陈春	c=0 d=6.91065e-37 t=25487
chen chun fang 	陈春芳	c=1 d=6.94528e-36 t=25487
chen feng 	尘封	c=1 d=6.55773e-37 t=25487
chen jian jun 	陈建军	c=1 d=6.1931e-11 t=25487
chen jin 	沉浸	c=1 d=4.7375e-06 t=25487
chen lao shi 	陈老师	c=6 d=5.57675e-13 t=25487
chen ni 	趁你	c=1 d=7.81482e-12 t=25487
chen shan 	衬衫	c=1 d=0.00104368 t=25487
cheng 	城	c=1 d=9.07614e-37 t=25487
cheng 	成	c=1 d=0.0379083 t=25487
cheng 	撑	c=1 d=1.07302e-35 t=25487
cheng 	澄	c=0 d=3.74202e-26 t=25487
cheng 	程	c=1 d=4.89426e-36 t=25487
cheng ben 	成本	c=1 d=6.59869e-22 t=25487
cheng cheng 	撑撑	c=1 d=6.37933e-36 t=25487
cheng dan 	承担	c=1 d=1.59364e-12 t=25487
cheng du 	程度	c=5 d=0.0148513 t=25487
cheng fen 	成分	c=1 d=5.62208e-20 t=25487
cheng fu 	城府	c=1 d=6.3904e-27 t=25487
cheng gong 	成功	c=4 d=0.0220377 t=25487
cheng gong lv 	成功率	c=1 d=2.08612e-33 t=25487
cheng guo qu 	撑过去	c=1 d=1.4936e-14 t=25487
cheng hao 	乘号	c=1 d=0.000902809 t=25487
cheng hu 	称呼	c=1 d=8.03746e-19 t=25487
cheng ji 	成绩	c=1 d=2.33957e-29 t=25487
cheng le 	成了	c=1 d=6.08308e-06 t=25487
cheng lou 	城楼	c=1 d=2.14484e-36 t=25487
cheng nuo 	承诺	c=1 d=2.49321e-42 t=25487
cheng ren 	成人	c=1 d=5.38861e-21 t=25487
cheng ren 	承认	c=1 d=0.019841 t=25487
cheng ren zhi mei 	成人之美	c=1 d=4.43469e-23 t=25487
cheng shi 	城市	c=1 d=6.48237e-48 t=25487
cheng wei 	成为	c=2 d=1.31154e-45 t=25487
cheng xu 	程序	c=2 d=1.10097e-14 t=25487
cheng xu yuan 	程序员	c=1 d=6.18975e-34 t=25487
chi 	吃	c=21 d=1.87685 t=25487
chi chi 	吃吃	c=1 d=0.337902 t=25487
chi chi 	迟迟	c=1 d=0.332871 t=25487
chi cun 	尺寸	c=3 d=2.51592e-25 t=25487
chi de le 	吃得了	c=1 d=3.56328e-08 t=25487
chi dian 	吃点	c=3 d=0.000721431 t=25487
chi fan 	吃饭	c=11 d=0.0557105 t=25487
chi ge fan 	吃个饭	c=1 d=0.000228266 t=25487
chi gua 	吃瓜	c=2 d=0.00571765 t=25487
chi guo 	吃过	c=2 d=1.64977e-27 t=25487
chi guo fan 	吃过饭	c=1 d=4.13923e-06 t=25487
chi hao 	吃好	c=1 d=1.62611e-14 t=25487
chi le 	吃了	c=5 d=0.00960953 t=25487
chi mian 	吃面	c=1 d=1.6733e-27 t=25487
chi rou 	吃肉	c=1 d=6.77379e-36 t=25487
chi shi 	吃食	c=1 d=1.74159e-27 t=25487
chi tiao 	吃条	c=1 d=7.3966e-12 t=25487
chi wan 	吃完	c=2 d=3.21029e-16 t=25487
chi wan fan 	吃完饭	c=1 d=3.16034e-08 t=25487
chi wan le 	吃完了	c=2 d=1.89319e-09 t=25487
chi xiao 	耻笑	c=1 d=2.30036e-36 t=25487
chi xu 	持续	c=1 d=1.4037e-19 t=25487
chi ye 	吃也	c=1 d=3.52783e-08 t=25487
china 	china	c=1 d=1.06217e-33 t=25487
chong 	虫	c=2 d=7.56594e-33 t=25487
chong die 	重叠	c=1 d=9.30588e-37 t=25487
chong fu 	重复	c=16 d=1.46677e-18 t=25487
chong neng gan 	充能干	c=0 d=1.84194e-40 t=25487
chong neng gan gong fu 	充能干功夫	c=1 d=1.85117e-39 t=25487
chong qi 	重启	c=1 d=1.0406e-27 t=25487
chong tou 	重投	c=3 d=5.62433e-35 t=25487
chong xin 	重新	c=10 d=1.22286e-14 t=25487
chong zhuang 	重装	c=4 d=2.72944e-47 t=25487
chou 	丑	c=1 d=1.60522e-09 t=25487
chou 	抽	c=1 d=0.00141588 t=25487
chou le 	抽了	c=1 d=5.56425e-16 t=25487
chou ti 	抽屉	c=1 d=1.26117e-24 t=25487
chou zhe 	瞅着	c=1 d=2.1287e-06 t=25487
chu 	出	c=18 d=0.061484 t=25487
chu 	处	c=5 d=3.41006e-05 t=25487
chu 	楚	c=1 d=7.25233e-45 t=25487
chu 	除	c=2 d=3.73682e-38 t=25487
chu bing 	出兵	c=1 d=2.09188e-36 t=25487
chu bu 	初步	c=1 d=2.41871e-38 t=25487
chu chai 	出差	c=3 d=9.90387e-05 t=25487
chu chang 	出场	c=2 d=7.90237e-41 t=25487
chu ci 	除此	c=1 d=1.06068e-46 t=25487
chu cuo 	出错	c=3 d=2.92183e-26 t=25487
chu fei 	除非	c=2 d=4.748e-32 t=25487
chu jia 	出家	c=1 d=4.65571e-07 t=25487
chu ju 	出具	c=4 d=5.17364e-11 t=25487
chu ju 	楚剧	c=2 d=6.68e-19 t=25487
chu lai 	出来	c=23 d=1.72534e-10 t=25487
chu le 	出了	c=1 d=1.31604e-25 t=25487
chu le 	除了	c=4 d=3.42053e-27 t=25487
chu li 	处理	c=12 d=3.16451e-10 t=25487
chu li fei 	处理费	c=4 d=3.20372e-40 t=25487
chu li wan 	处理完	c=1 d=4.8624e-18 t=25487
chu qu 	出去	c=6 d=0.000354447 t=25487
chu quan 	出圈	c=1 d=7.03565e-41 t=25487
chu ru 	出入	c=1 d=1.30791e-11 t=25487
chu shen 	初审	c=1 d=2.26025e-35 t=25487
chu wen ti 	出问题	c=1 d=1.74485e-49 t=25487
chu xian 	出现	c=9 d=0.0256248 t=25487
chu xian guo 	出现过	c=1 d=7.56269e-38 t=25487
chu xiao 	出校	c=1 d=2.03599e-41 t=25487
chu xue re 	出血热	c=2 d=2.17335e-22 t=25487
chu zhong 	初中	c=2 d=1.73415e-35 t=25487
chuan 	传	c=7 d=9.34975e-05 t=25487
chuan 	穿	c=4 d=0.00465418 t=25487
chuan bo 	传播	c=11 d=5.79924e-45 t=25487
chuan de 	穿的	c=0 d=3.63526e-09 t=25487
chuan de le 	穿的了	c=1 d=3.65349e-08 t=25487
chuan guo 	传过	c=1 d=2.60257e-47 t=25487
chuan lian 	串联	c=2 d=6.04371e-39 t=25487
chuan ran xing 	传染性	c=1 d=1.29288e-22 t=25487
chuan shang 	穿上	c=1 d=0.00436124 t=25487
chuan wen jian 	传文件	c=1 d=0.000939653 t=25487
chuan xi 	喘息	c=1 d=2.12609e-21 t=25487
chuan yi fu 	穿衣服	c=1 d=1.64956e-06 t=25487
chuang hu 	窗户	c=1 d=5.18436e-37 t=25487
chuang jian 	创建	c=1 d=2.03989e-34 t=25487
chuang kou 	窗口	c=4 d=2.45909e-18 t=25487
chuang shang 	床上	c=1 d=0.00414854 t=25487
chui qiang 	吹腔	c=1 d=0.000380129 t=25487
chui zi 	锤子	c=2 d=0.00145173 t=25487
chun cui 	纯粹	c=2 d=4.5533e-10 t=25487
chun jing 	纯净	c=1 d=5.53255e-37 t=25487
chun le 	蠢了	c=1 d=8.83071e-38 t=25487
chun seng 	蠢僧	c=1 d=1.17104e-34 t=25487
chun zhuan 	春转	c=1 d=4.3454e-19 t=25487
ci 	慈	c=1 d=1.07025e-34 t=25487
ci 	次	c=3 d=3.49708e-19 t=25487
ci 	此	c=1 d=3.61074e-46 t=25487
ci 	词	c=3 d=8.46889e-33 t=25487
ci chu 	此处	c=1 d=1.22811e-35 t=25487
ci ci 	此次	c=10 d=7.13181e-13 t=25487
ci dian 	词典	c=2 d=1.63637e-15 t=25487
ci hui 	词汇	c=1 d=5.1452e-36 t=25487
ci ji 	刺激	c=0 d=9.67415e-24 t=25487
ci ku 	词库	c=10 d=1.14607e-33 t=25487
ci pan 	磁盘	c=2 d=2.95269e-24 t=25487
ci qian 	此前	c=1 d=4.12982e-38 t=25487
ci shi 	此事	c=1 d=1.08661e-36 t=25487
ci shi 	此时	c=1 d=3.9706e-46 t=25487
ci shu 	次数	c=1 d=9.22299e-20 t=25487
ci wai 	此外	c=2 d=2.79612e-38 t=25487
ci xing 	雌性	c=1 d=1.06916e-22 t=25487
clash 	clash	c=7 d=0.0113895 t=25487
class 	class	c=1 d=4.34835e-27 t=25487
com pi are 	compiare	c=1 d=3.16788e-36 t=25487
con ti gs 	contigs	c=1 d=1.13937e-35 t=25487
cong 	从	c=16 d=3.32294e-10 t=25487
cong bu 	从不	c=1 d=4.23378e-07 t=25487
cong da 	从大	c=1 d=4.82058e-34 t=25487
cong fei 	丛飞	c=1 d=2.96136e-37 t=25487
cong ming ren 	聪明人	c=1 d=0.00215493 t=25487
cong tou 	从头	c=1 d=8.09155e-39 t=25487
cong zhong 	从中	c=1 d=1.0758e-36 t=25487
cou ge 	凑个	c=1 d=0.67032 t=25487
cou he 	凑合	c=2 d=0.000659793 t=25487
cou shu 	凑数	c=1 d=2.18965e-44 t=25487
crack 	crack	c=1 d=1.56368e-24 t=25487
cs v 	csv	c=1 d=1.65378e-36 t=25487
cu 	簇	c=1 d=2.1515e-43 t=25487
cuan xi 	蹿稀	c=1 d=1.40758e-22 t=25487
cui 	催	c=2 d=1.15146e-12 t=25487
cui le 	催了	c=3 d=1.15722e-12 t=25487
cui yong yuan 	崔永元	c=1 d=8.78544e-07 t=25487
cun chu 	存储	c=1 d=4.46617e-18 t=25487
cun liu 	存留	c=1 d=2.80393e-12 t=25487
cun zai 	存在	c=18 d=1.55937e-21 t=25487
cuo le 	错了	c=2 d=1.53193e-18 t=25487
cuo wu 	错误	c=2 d=5.42963e-22 t=25487
cuo wu lv 	错误率	c=3 d=1.58133e-21 t=25487
cut 	cut	c=2 d=9.817e-19 t=25487
da 	大	c=7 d=0.00636642 t=25487
da 	打	c=12 d=0.922261 t=25487
da 	搭	c=1 d=2.55104e-47 t=25487
da 	答	c=27 d=7.9906e-09 t=25487
da 	达	c=1 d=1.1461e-16 t=25487
da ba 	打吧	c=1 d=1.09794e-11 t=25487
da bao 	打包	c=4 d=0.00355024 t=25487
da bian 	答辩	c=9 d=1.08669e-16 t=25487
da bu dao 	达不到	c=1 d=4.8876e-20 t=25487
da bu fen 	大部分	c=1 d=1.09772e-38 t=25487
da bu kai 	打不开	c=1 d=1.54093e-28 t=25487
da cha 	大差	c=0 d=8.60239e-25 t=25487
da cha bu cha 	大差不差	c=1 d=8.64551e-24 t=25487
da chu lai 	打出来	c=1 d=6.41568e-44 t=25487
da de 	大的	c=3 d=8.02792e-05 t=25487
da dian hua 	打电话	c=5 d=1.53563e-17 t=25487
da fei suo wen 	答非所问	c=1 d=1.3888e-11 t=25487
da fu 	答复	c=1 d=4.45893e-25 t=25487
da fu nin 	答复您	c=1 d=4.02305e-24 t=25487
da gai 	大改	c=1 d=9.83708e-43 t=25487
da gai 	大概	c=6 d=6.56541e-14 t=25487
da gai lv 	大概率	c=2 d=3.21586e-07 t=25487
da ge 	打个	c=2 d=1.03927e-11 t=25487
da ge dian hua 	打个电话	c=1 d=3.12826e-35 t=25487
da gei 	打给	c=1 d=5.43813e-11 t=25487
da gei nin 	打给您	c=1 d=1.79402e-23 t=25487
da gong 	打工	c=3 d=1.82777e-07 t=25487
da gui mo 	大规模	c=1 d=9.96704e-21 t=25487
da he shang 	大和尚	c=1 d=9.42215e-36 t=25487
da hua 	答话	c=1 d=2.35859e-36 t=25487
da huan 	大环	c=0 d=7.41298e-39 t=25487
da huan nei zhi 	大环内酯	c=12 d=0.404542 t=25487
da jia 	大家	c=10 d=0.495342 t=25487
da jian 	搭建	c=1 d=3.94125e-47 t=25487
da jiao 	打搅	c=1 d=7.74074e-47 t=25487
da jin zhi 	打金枝	c=1 d=6.71348e-19 t=25487
da kai 	打开	c=3 d=2.37703e-10 t=25487
da ke 	大可	c=1 d=7.10274e-35 t=25487
da lai 	打来	c=1 d=9.98396e-41 t=25487
da lao 	大佬	c=1 d=6.08515e-10 t=25487
da lao ban 	大老板	c=3 d=4.22925e-24 t=25487
da lao yuan 	大老远	c=0 d=8.15202e-10 t=25487
da le 	搭了	c=1 d=2.43879e-47 t=25487
da le ge 	打了个	c=1 d=2.72856e-15 t=25487
da long pao 	打龙袍	c=1 d=5.67182e-06 t=25487
da lu 	大陆	c=2 d=1.19128e-22 t=25487
da ma 	大吗	c=1 d=8.06924e-36 t=25487
da qiu 	打球	c=5 d=0.238115 t=25487
da qiu yin 	大蚯蚓	c=1 d=7.73706e-12 t=25487
da ren 	大人	c=0 d=9.49227e-36 t=25487
da ren na 	大人呐	c=1 d=9.53985e-35 t=25487
da she tou 	大舌头	c=1 d=0.024972 t=25487
da sheng 	大圣	c=0 d=1.39405e-27 t=25487
da sheng dai 	大圣代	c=1 d=1.40104e-26 t=25487
da shi 	大事	c=2 d=1.58899e-07 t=25487
da shi 	大师	c=1 d=9.07488e-06 t=25487
da shi hua 	大实话	c=1 d=4.10154e-16 t=25487
da shi jie 	大师姐	c=1 d=9.8558e-36 t=25487
da shi xiong 	大师兄	c=3 d=1.19389e-17 t=25487
da shu 	大鼠	c=1 d=1.35917e-22 t=25487
da si 	打死	c=1 d=0.0191587 t=25487
da suan 	打算	c=6 d=1.07046e-07 t=25487
da ta 	打他	c=1 d=6.63515e-28 t=25487
da ting 	打听	c=1 d=6.3062e-18 t=25487
da tong 	大同	c=2 d=2.09455e-11 t=25487
da tui 	大腿	c=1 d=6.03281e-26 t=25487
da wan 	大晚	c=0 d=0.054335 t=25487
da wan shang 	大晚上	c=1 d=0.546075 t=25487
da wo 	打我	c=1 d=0.0248475 t=25487
da xiao 	大小	c=2 d=0.000280201 t=25487
da xiao xie 	大小写	c=2 d=0.000455097 t=25487
da xing 	大刑	c=1 d=4.28959e-14 t=25487
da xue 	大学	c=3 d=4.06487e-28 t=25487
da yi 	大意	c=0 d=4.59969e-42 t=25487
da yi dian 	大一点	c=1 d=6.74002e-36 t=25487
da yi le 	大意了	c=1 d=4.62275e-41 t=25487
da yin 	打印	c=11 d=4.82319e-11 t=25487
da yin ji 	打印机	c=6 d=7.88469e-23 t=25487
da ying 	答应	c=2 d=3.91772e-06 t=25487
da yu 	大于	c=6 d=3.26778e-11 t=25487
da yu hao 	大于号	c=1 d=2.26179e-43 t=25487
da zi 	打字	c=2 d=5.409e-36 t=25487
dai 	代	c=0 d=1.39405e-27 t=25487
dai 	带	c=3 d=1.00746e-07 t=25487
dai 	待	c=4 d=1.02954e-19 t=25487
dai 	戴	c=2 d=1.24367e-36 t=25487
dai de 	带的	c=3 d=1.08827e-43 t=25487
dai dian 	带点	c=2 d=4.19194e-32 t=25487
dai ge 	带个	c=1 d=3.77321e-05 t=25487
dai gei wo 	带给我	c=1 d=6.51063e-11 t=25487
dai guo 	待过	c=1 d=0.00278085 t=25487
dai kou zhao 	戴口罩	c=1 d=0.00307331 t=25487
dai lai 	带来	c=2 d=6.3488e-09 t=25487
dai li 	代理	c=14 d=0.0115504 t=25487
dai lv mao 	戴绿帽	c=1 d=1.48151e-36 t=25487
dai ma 	代码	c=5 d=4.25499e-25 t=25487
dai nin 	带您	c=1 d=2.32308e-34 t=25487
dai yu 	黛玉	c=1 d=1.83088e-27 t=25487
dai zai 	待在	c=1 d=2.38237e-07 t=25487
dai zhe 	带着	c=1 d=9.2356e-36 t=25487
dai zhuang 	带妆	c=1 d=2.83741e-34 t=25487
dai zi 	袋子	c=1 d=1.28023e-24 t=25487
dan 	dan	c=0 d=1.13095e-37 t=25487
dan 	但	c=26 d=0.00402196 t=25487
dan 	单	c=2 d=5.46247e-21 t=25487
dan bai 	蛋白	c=1 d=1.82808e-09 t=25487
dan bai zhi 	蛋白质	c=1 d=2.04871e-26 t=25487
dan bing yuan 	但病原	c=1 d=1.34217e-21 t=25487
dan bu yi ding 	dan不一定	c=1 d=1.13663e-36 t=25487
dan chao fan 	蛋炒饭	c=1 d=3.8954e-27 t=25487
dan dai 	担待	c=1 d=2.41961e-13 t=25487
dan dang 	担当	c=1 d=4.42865e-07 t=25487
dan du 	单独	c=2 d=0.000239969 t=25487
dan duan 	单端	c=3 d=0.00186461 t=25487
dan fan 	但凡	c=1 d=1.01037e-33 t=25487
dan feng 	单峰	c=2 d=3.21079e-46 t=25487
dan feng luo tuo 	单峰骆驼	c=1 d=4.19508e-46 t=25487
dan huang 	蛋黄	c=1 d=1.80989e-09 t=25487
dan jia 	单价	c=1 d=9.70581e-32 t=25487
dan jian 	单间	c=1 d=0.00169512 t=25487
dan ni 	但你	c=2 d=4.93725e-43 t=25487
dan shen 	单身	c=1 d=1.61772e-12 t=25487
dan shi 	但是	c=55 d=0.00198351 t=25487
dan wei 	单位	c=6 d=5.05357e-20 t=25487
dan wo 	但我	c=2 d=4.96315e-24 t=25487
dan xi bao 	单细胞	c=3 d=4.38412e-06 t=25487
dan xiang 	单项	c=0 d=1.92305e-47 t=25487
dan xiang yi chuan xue 	单项遗传学	c=1 d=1.93269e-46 t=25487
dan ye 	但也	c=0 d=3.33267e-16 t=25487
dan ye bu shi 	但也不是	c=1 d=3.34938e-15 t=25487
dan yi 	单一	c=1 d=3.51441e-22 t=25487
dan yuan 	但愿	c=2 d=6.18867e-32 t=25487
dan zi 	单子	c=1 d=4.91796e-34 t=25487
dan zi 	胆子	c=1 d=6.5781e-44 t=25487
dang 	当	c=5 d=2.08133e-09 t=25487
dang 	挡	c=1 d=9.49386e-37 t=25487
dang chu 	当初	c=4 d=9.37386e-05 t=25487
dang nian 	当年	c=1 d=6.64102e-09 t=25487
dang qian 	当前	c=1 d=1.20506e-18 t=25487
dang ran 	当然	c=5 d=1.82925e-05 t=25487
dang shi 	当时	c=3 d=9.95152e-32 t=25487
dang wo 	当我	c=1 d=5.83621e-48 t=25487
dao 	倒	c=2 d=7.61927e-08 t=25487
dao 	到	c=37 d=0.61982 t=25487
dao 	导	c=4 d=1.26151e-13 t=25487
dao 	道	c=1 d=3.89408e-23 t=25487
dao cao 	稻草	c=1 d=1.02902e-13 t=25487
dao chang 	到场	c=1 d=5.94604e-32 t=25487
dao chu 	导出	c=9 d=0.000632143 t=25487
dao chu lai 	导出来	c=1 d=4.40582e-05 t=25487
dao de 	到的	c=3 d=7.18838e-22 t=25487
dao di 	到底	c=5 d=0.264477 t=25487
dao er 	倒二	c=1 d=2.91826e-41 t=25487
dao lao 	到老	c=1 d=3.16798e-07 t=25487
dao le 	到了	c=13 d=5.97704e-05 t=25487
dao na 	到哪	c=0 d=7.52372e-37 t=25487
dao pi 	刀劈	c=1 d=2.02616e-36 t=25487
dao pi san guan 	刀劈三关	c=1 d=1.90229e-36 t=25487
dao ru 	导入	c=4 d=7.21006e-35 t=25487
dao shi 	倒是	c=6 d=0.00120654 t=25487
dao shi 	导师	c=1 d=1.52798e-17 t=25487
dao shi hou 	到时候	c=1 d=2.83789e-36 t=25487
dao tu 	导图	c=1 d=3.51801e-34 t=25487
dao ye 	倒也	c=2 d=3.56874e-26 t=25487
dao zhi 	导致	c=8 d=1.5014e-20 t=25487
de 	地	c=4 d=5.22388e-29 t=25487
de 	得	c=12 d=6.12853e-05 t=25487
de 	德	c=1 d=7.37978e-44 t=25487
de 	的	c=1043 d=4.8316 t=25487
de dao 	得到	c=3 d=3.45315e-21 t=25487
de e 	德峨	c=1 d=7.6995e-43 t=25487
de guo 	德国	c=1 d=8.67556e-06 t=25487
de ji yin xing 	的基因型	c=1 d=7.79837e-46 t=25487
de kong 	得空	c=4 d=0.650509 t=25487
de le 	得了	c=1 d=6.56145e-14 t=25487
de le pian yi 	得了便宜	c=1 d=1.60633e-17 t=25487
de lei 	得嘞	c=1 d=5.05895e-43 t=25487
de shang 	的上	c=0 d=2.79517e-35 t=25487
de yi 	得意	c=1 d=2.70326e-23 t=25487
dee pl 	deepl	c=1 d=8.09018e-37 t=25487
dei 	得	c=2 d=1.60272e-20 t=25487
deng 	登	c=4 d=0.000251809 t=25487
deng 	等	c=27 d=0.209666 t=25487
deng 	镫	c=1 d=2.21016e-36 t=25487
deng bu shang 	登不上	c=1 d=2.03739e-49 t=25487
deng cha 	等差	c=1 d=1.58894e-36 t=25487
deng dao 	等到	c=2 d=4.59827e-08 t=25487
deng deng 	等等	c=2 d=0.0122548 t=25487
deng fei 	邓菲	c=13 d=1.23203e-08 t=25487
deng ji 	等级	c=1 d=1.76947e-08 t=25487
deng ji biao 	登记表	c=2 d=2.34274e-37 t=25487
deng lu 	登录	c=7 d=1.39192e-10 t=25487
deng ni 	等你	c=3 d=0.0425874 t=25487
deng shang 	登上	c=1 d=0.000186633 t=25487
deng shang le 	登上了	c=1 d=0.000115643 t=25487
deng ta 	等它	c=2 d=1.19266e-14 t=25487
deng wo 	等我	c=2 d=0.000227128 t=25487
deng yi hui er 	等一会儿	c=1 d=2.83105e-37 t=25487
di 	低	c=1 d=3.66793e-25 t=25487
di 	地	c=1 d=9.39945e-37 t=25487
di 	底	c=2 d=9.62919e-27 t=25487
di 	滴	c=1 d=6.64423e-44 t=25487
di 	第	c=1 d=2.95983e-22 t=25487
di 	缔	c=1 d=7.24742e-37 t=25487
di ba jie 	第八届	c=1 d=1.3138e-05 t=25487
di bu 	地步	c=1 d=8.72025e-37 t=25487
di cheng ben 	低成本	c=1 d=6.56578e-22 t=25487
di di 	弟弟	c=1 d=7.44887e-36 t=25487
di diao 	低调	c=2 d=1.86102e-35 t=25487
di du 	滴度	c=9 d=2.60034e-16 t=25487
di er 	第二	c=2 d=8.47288e-22 t=25487
